card_id	german	target_gloss	status	matched_form	expected_pos	example_german	example_english	tatoeba_attribution
x10047	immer	always	sourced	immer	ADV	Er ist immer bei mir.	He is always with me.	CC-BY 2.0 (France) Attribution: tatoeba.org #289132 (CK) & #718142 (Manfredo)
x10048	oft	often	sourced	oft	ADV	Er kommt oft zu spät.	He often comes late.	CC-BY 2.0 (France) Attribution: tatoeba.org #301849 (CK) & #357453 (MUIRIEL)
x10049	manchmal	sometimes	sourced	manchmal	ADV	Manchmal ist es eben so.	That’s just how it is sometimes.	CC-BY 2.0 (France) Attribution: tatoeba.org #6912023 (Dalyup) & #6910386 (ruth_tatoeba)
x10050	nie	never	sourced	nie	ADV	Es ist nie zu spät.	It’s never too late.	CC-BY 2.0 (France) Attribution: tatoeba.org #1332565 (CM) & #1794753 (al_ex_an_der)
x10051	hier	here	sourced	hier	ADV,INTJ	Es ist hier zu laut.	It’s too noisy here.	CC-BY 2.0 (France) Attribution: tatoeba.org #7817613 (CK) & #11796730 (Pfirsichbaeumchen)
x10052	dort	there	sourced	dort	ADV	Ich war noch nie dort.	I’d never been there.	CC-BY 2.0 (France) Attribution: tatoeba.org #5166557 (CK) & #4453800 (rocco_granata)
x10053	links	left	sourced	links	ADV	Bieg dort vorne links ab.	Turn left up ahead.	CC-BY 2.0 (France) Attribution: tatoeba.org #11982671 (sundown) & #4040067 (brauchinet)
x10054	rechts	right	sourced	rechts	ADV	Rechts seht ihr das Meer.	If you look to your right, you’ll see the sea.	CC-BY 2.0 (France) Attribution: tatoeba.org #10501711 (DJ_Saidez) & #12425830 (Waldelfe)
x10055	geradeaus	straight ahead	sourced	geradeaus	ADV	Bitte gehen Sie geradeaus.	Please go straight ahead.	CC-BY 2.0 (France) Attribution: tatoeba.org #6354995 (CK) & #13350240 (Vortarulo)
x10056	nah	near	sourced	nahe	ADJ,ADV	Komm mir nicht zu nahe!	Don’t come near me.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972620 (CK) & #2672038 (Pfirsichbaeumchen)
x10057	weit	far	sourced	weit	ADJ,ADV	Unser Bauernhof ist nicht weit weg von hier.	Our farm isn’t far away from here.	CC-BY 2.0 (France) Attribution: tatoeba.org #3097059 (CK) & #7796426 (raggione)
x10058	groß	big / tall	sourced	gross	ADJ,ADV	Er ist nicht so groß.	He is not so tall.	CC-BY 2.0 (France) Attribution: tatoeba.org #291450 (CK) & #348146 (MUIRIEL)
x10059	klein	small	sourced	klein	ADJ,ADV	Das ist viel zu klein.	It’s far too small.	CC-BY 2.0 (France) Attribution: tatoeba.org #1737134 (Spamster) & #1737291 (Pfirsichbaeumchen)
x10060	gut	good	sourced	gut	ADJ,ADV	Es ist gut für uns.	It’s good for us.	CC-BY 2.0 (France) Attribution: tatoeba.org #8271732 (CM) & #8873124 (wolfgangth)
x10061	schlecht	bad	sourced	schlecht	ADJ,ADV	Es läuft alles sehr schlecht.	Everything is going very badly.	CC-BY 2.0 (France) Attribution: tatoeba.org #2265911 (_undertoad) & #2322431 (Pfirsichbaeumchen)
x10062	neu	new	sourced	neu	ADJ,ADV	Das ist für keinen neu.	This isn’t news to anyone.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826655 (CK) & #3860881 (Tamy)
x10063	alt	old	sourced	älteste	ADJ,ADV	Wie alt ist der Älteste?	How old is the oldest one?	CC-BY 2.0 (France) Attribution: tatoeba.org #3628486 (MTC) & #1483876 (Zaghawa)
x10064	schön	beautiful	sourced	schön	ADJ,ADV	Schön hast du’s hier.	Your house is beautiful.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545636 (CK) & #6707849 (Pfirsichbaeumchen)
x10065	schnell	fast	sourced	schnell	ADJ,ADV	Das geht viel zu schnell.	This is happening way too fast.	CC-BY 2.0 (France) Attribution: tatoeba.org #3130912 (CK) & #8002965 (raggione)
x10066	langsam	slow	sourced	langsam	ADJ,ADV	Die Tür ging langsam zu.	The door closed slowly.	CC-BY 2.0 (France) Attribution: tatoeba.org #3730023 (CM) & #7827040 (raggione)
x10067	warm	warm	sourced	warm	ADJ,ADV	Im Haus ist es warm.	The house is warm.	CC-BY 2.0 (France) Attribution: tatoeba.org #2002505 (bichodebola) & #10081909 (wolfgangth)
x10068	kalt	cold	sourced	kalt	ADJ,ADV	Es ist noch zu kalt.	It’s still too cold.	CC-BY 2.0 (France) Attribution: tatoeba.org #13353156 (rul) & #13357141 (mhr)
x10069	heiß	hot	sourced	heisser	ADJ,ADV	Morgen wird es noch heißer.	Tomorrow will be even hotter.	CC-BY 2.0 (France) Attribution: tatoeba.org #9265079 (CK) & #9265149 (Pfirsichbaeumchen)
x10070	müde	tired	sourced	müde	ADJ,ADV	Er sah sehr müde aus.	He looked very tired.	CC-BY 2.0 (France) Attribution: tatoeba.org #2258409 (_undertoad) & #2369785 (Pfirsichbaeumchen)
x10071	krank	ill	sourced	krank	ADJ,ADV	Warst du mal ernsthaft krank?	Have you ever had a serious illness?	CC-BY 2.0 (France) Attribution: tatoeba.org #1199357 (CK) & #1199363 (Tlustulimu)
x10072	gesund	healthy	sourced	gesund	ADJ,ADV	Er ist jung und gesund.	He’s young and healthy.	CC-BY 2.0 (France) Attribution: tatoeba.org #1690583 (Spamster) & #1690630 (Pfirsichbaeumchen)
x10073	hungrig	hungry	sourced	hungrig	ADJ,ADV	Ich war nicht so hungrig.	I wasn’t that hungry.	CC-BY 2.0 (France) Attribution: tatoeba.org #10149515 (CK) & #10176324 (wolfgangth)
x10074	durstig	thirsty	sourced	durstig	ADJ,ADV	Er ist hungrig und durstig.	He’s hungry and thirsty.	CC-BY 2.0 (France) Attribution: tatoeba.org #1690394 (Spamster) & #1690553 (Pfirsichbaeumchen)
x10075	frei	free	sourced	frei	ADJ,ADV	Am Sonntag bin ich frei.	I’m free on Sunday.	CC-BY 2.0 (France) Attribution: tatoeba.org #57545 (CK) & #1613559 (Esperantostern)
x10076	fertig	ready / finished	sourced	fertig	ADJ,ADV	Hast du das Buch fertig gelesen?	Have you finished reading the book?	CC-BY 2.0 (France) Attribution: tatoeba.org #43897 (CK) & #2401673 (Tamy)
x10077	wichtig	important	sourced	wichtig	ADJ,ADV	Es ist wichtig für mich.	To me, it is important.	CC-BY 2.0 (France) Attribution: tatoeba.org #604207 (BraveSentry) & #731170 (Manfredo)
x10078	richtig	correct	sourced	richtig	ADJ,ADV	Das ist richtig, glaube ich.	I believe that’s correct.	CC-BY 2.0 (France) Attribution: tatoeba.org #1687489 (Spamster) & #1687739 (Pfirsichbaeumchen)
x10079	falsch	wrong	sourced	falsch	ADJ,ADV	Es ist falsch zu lügen.	It’s wrong to lie.	CC-BY 2.0 (France) Attribution: tatoeba.org #2533402 (CK) & #2151044 (Pfirsichbaeumchen)
x10080	zusammen	together	sourced	zusammen	ADJ,ADV	Man sieht sie oft zusammen.	They’re often seen together.	CC-BY 2.0 (France) Attribution: tatoeba.org #6263993 (CK) & #12564027 (Waldelfe)
x10081	allein	alone	sourced	allein	ADJ,ADV	Soll er es allein tun!	Let him do it alone.	CC-BY 2.0 (France) Attribution: tatoeba.org #284595 (CK) & #2232136 (Pfirsichbaeumchen)
x10082	auch	also	sourced	auch	ADV,INTJ	Es gibt auch ein gelbes.	There’s also a yellow one.	CC-BY 2.0 (France) Attribution: tatoeba.org #3133503 (CK) & #7158201 (Luiaard)
x10083	aber	but	sourced	aber	ADV,CCONJ	Aber du bist nicht dort.	But you’re not there.	CC-BY 2.0 (France) Attribution: tatoeba.org #53546 (CK) & #394485 (xtofu80)
x10084	oder	or	sourced	oder	CCONJ,DET,PART	Sag nur ja oder nein.	Just say yes or no.	CC-BY 2.0 (France) Attribution: tatoeba.org #66672 (CK) & #1671108 (Espi)
x10085	und	and	sourced	und	CCONJ,INTJ	Ich geh und hol es.	I’ll go get it.	CC-BY 2.0 (France) Attribution: tatoeba.org #2549647 (CK) & #6644453 (Felixjp)
x10086	weil	because	sourced	weil	CCONJ,SCONJ	Ich tue das, weil ich muss.	I’m doing this because I have to.	CC-BY 2.0 (France) Attribution: tatoeba.org #6663205 (CK) & #12910141 (Waldelfe)
x10087	wer	who	sourced	wer	PRON	Wer die Zahl errät, gewinnt.	Whoever guesses the number wins.	CC-BY 2.0 (France) Attribution: tatoeba.org #2259910 (_undertoad) & #2344964 (Pfirsichbaeumchen)
x10088	was	what	sourced	was	ADV,DET,PRON	Es ist, was es ist.	It is what it is.	CC-BY 2.0 (France) Attribution: tatoeba.org #2528426 (CK) & #3463386 (Flammlachs)
x10089	wo	where	sourced	wo	ADV,CCONJ,PRON	Tu’s, wo du willst!	Do it wherever you want.	CC-BY 2.0 (France) Attribution: tatoeba.org #9393490 (CK) & #12560838 (Waldelfe)
x10090	wann	when	sourced	wann	ADV,CCONJ	Fang an, wann du willst!	Begin when you want.	CC-BY 2.0 (France) Attribution: tatoeba.org #7342849 (jimkillock) & #12279999 (Pfirsichbaeumchen)
x10091	warum	why	sourced	warum	ADV	Die große Frage ist „Warum?“	The big question is why.	CC-BY 2.0 (France) Attribution: tatoeba.org #5021792 (CK) & #5023563 (Pfirsichbaeumchen)
x10092	wie	how	sourced	wie	ADV,CCONJ	Das kann man machen, wie man will.	It can be done however you like.	CC-BY 2.0 (France) Attribution: tatoeba.org #10012976 (sundown) & #7725635 (manese)
x10093	welche	which	sourced	welche	DET,PRON	Sag mir, welche du willst!	Tell me which one you want.	CC-BY 2.0 (France) Attribution: tatoeba.org #7357071 (sabretou) & #13414686 (Biderl)
x10094	viel	much / a lot	sourced	viel	ADJ,ADV	So ist es viel besser.	It’s much better this way.	CC-BY 2.0 (France) Attribution: tatoeba.org #5740691 (CM) & #10137416 (wolfgangth)
x10095	wenig	little / few	unsourced		ADJ,ADV			
x10096	mehr	more	sourced	mehr	ADV,DET,PRON	Er bat um mehr Geld.	He asked for more money.	CC-BY 2.0 (France) Attribution: tatoeba.org #290048 (CK) & #2808089 (freddy1)
x10097	alles	everything	sourced	alles	DET,PRON	Er tat alles für sie.	He did everything for her.	CC-BY 2.0 (France) Attribution: tatoeba.org #2055181 (CK) & #1944249 (al_ex_an_der)
x10098	nichts	nothing	sourced	nichts	PRON	Er hat nichts zu tun.	He has nothing to do.	CC-BY 2.0 (France) Attribution: tatoeba.org #294298 (CK) & #1097176 (Espi)
x10099	jemand	someone	sourced	jemand	PRON	Da ist jemand im Haus.	Someone’s in the house.	CC-BY 2.0 (France) Attribution: tatoeba.org #2646013 (CK) & #12910970 (Waldelfe)
x10100	niemand	nobody	sourced	niemand	PRON	Es war niemand im Wagen.	Nobody was in the car.	CC-BY 2.0 (France) Attribution: tatoeba.org #10362012 (ddnktr) & #10362917 (Pfirsichbaeumchen)
x10101	vereinbaren	to arrange	sourced	vereinbaren	AUX,VERB	Vereinbaren Sie einen weiteren Termin an der Rezeption.	Make another appointment at the front desk.	CC-BY 2.0 (France) Attribution: tatoeba.org #264335 (CK) & #820547 (Pfirsichbaeumchen)
x10102	absagen	to cancel	sourced	absagen	AUX,VERB	Wir müssen unsere Reise nach Japan absagen.	We must cancel our trip to Japan.	CC-BY 2.0 (France) Attribution: tatoeba.org #281801 (CK) & #1000667 (Pfirsichbaeumchen)
x10103	verschieben	to postpone	sourced	verschieben	AUX,VERB	Ich schlug vor, das Treffen zu verschieben.	I suggested postponing the meeting.	CC-BY 2.0 (France) Attribution: tatoeba.org #11184951 (sundown) & #7832586 (raggione)
x10104	reservieren	to reserve	sourced	reservieren	AUX,VERB	Ich möchte ein Abteil erster Klasse reservieren.	I want to reserve a first-class stateroom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2258832 (_undertoad) & #2365525 (Pfirsichbaeumchen)
x10105	bestellen	to order	sourced	bestellen	AUX,VERB	Ich weiß nicht, was ich bestellen soll.	I don’t know what to order.	CC-BY 2.0 (France) Attribution: tatoeba.org #436519 (lukaszpp) & #683020 (Manfredo)
x10106	empfehlen	to recommend	sourced	empfehlen	AUX,VERB	Ich würde es auf jeden Fall empfehlen.	I would definitely recommend it.	CC-BY 2.0 (France) Attribution: tatoeba.org #7213049 (CK) & #13352248 (Waldelfe)
x10107	erklären	to explain	sourced	erklären	AUX,VERB	Ich kann nicht erklären, wie es ist.	I can’t explain how it is.	CC-BY 2.0 (France) Attribution: tatoeba.org #1951583 (CK) & #1953984 (Pfirsichbaeumchen)
x10108	beschreiben	to describe	sourced	beschreiben	AUX,VERB	Das lässt sich mit Worten nicht beschreiben.	Words can’t describe it.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972608 (CK) & #2151754 (freddy1)
x10109	erzählen	to tell / narrate	sourced	erzählen	AUX,VERB	Ich habe dir viele Dinge zu erzählen.	I have a lot of things to tell you.	CC-BY 2.0 (France) Attribution: tatoeba.org #63858 (CK) & #784954 (al_ex_an_der)
x10110	berichten	to report	sourced	berichten	AUX,VERB	Es gibt nichts Neues zu berichten.	There’s nothing new to report.	CC-BY 2.0 (France) Attribution: tatoeba.org #3736758 (CK) & #1247420 (Esperantostern)
x10111	meinen	to mean / think	sourced	meinen	AUX,VERB	Du scheinst es ja ernst zu meinen.	You almost sound like you mean it.	CC-BY 2.0 (France) Attribution: tatoeba.org #8999000 (CK) & #9002023 (Pfirsichbaeumchen)
x10112	glauben	to believe	sourced	glauben	AUX,VERB	Er war so dumm, ihr zu glauben.	He was silly enough to believe her.	CC-BY 2.0 (France) Attribution: tatoeba.org #295584 (CK) & #1893483 (Pfirsichbaeumchen)
x10113	hoffen	to hope	sourced	hoffen	AUX,VERB	Wir hoffen, dass Sie das bald tun.	We hope you do that soon.	CC-BY 2.0 (France) Attribution: tatoeba.org #5785949 (CK) & #12460236 (Waldelfe)
x10114	wünschen	to wish	sourced	wünschen	AUX,VERB	Ich wollte dir einfach viel Glück wünschen.	I just wanted to wish you luck.	CC-BY 2.0 (France) Attribution: tatoeba.org #2014297 (CK) & #12541687 (Waldelfe)
x10115	planen	to plan	sourced	planen	AUX,VERB	Komm, wir planen eine Reise nach Australien.	Let’s plan a trip to Australia.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826468 (CK) & #4044180 (pullnosemans)
x10116	entscheiden	to decide	sourced	entscheiden	AUX,VERB	Ich werde entscheiden, was zu tun ist.	I’ll decide what to do.	CC-BY 2.0 (France) Attribution: tatoeba.org #5044168 (nizoverdulo) & #12540834 (mayabe)
x10117	versuchen	to try	sourced	versuchen	AUX,VERB	Ich kann nicht aufhören, es zu versuchen.	I can’t stop trying.	CC-BY 2.0 (France) Attribution: tatoeba.org #11054934 (CK) & #12820851 (Waldelfe)
x10118	vergessen	to forget	sourced	vergessen	AUX,VERB	Du hast vergessen, es mir zu sagen.	You forgot to tell me.	CC-BY 2.0 (France) Attribution: tatoeba.org #13554402 (CK) & #13554991 (brauchinet)
x10119	erinnern	to remember	sourced	erinnern	AUX,VERB	Erinnern Sie sich, wie schwer es war!	Remember how hard it was.	CC-BY 2.0 (France) Attribution: tatoeba.org #5744696 (CM) & #13555272 (Waldelfe)
x10120	besuchen	to visit	sourced	besuchen	AUX,VERB	Er kommt uns ab und zu besuchen.	He comes to visit us every now and then.	CC-BY 2.0 (France) Attribution: tatoeba.org #298405 (CK) & #4462008 (Pfirsichbaeumchen)
x10121	treffen	to meet	sourced	treffen	AUX,VERB	Es ist sehr gut, dich zu treffen.	It’s great to meet you.	CC-BY 2.0 (France) Attribution: tatoeba.org #71081 (CK) & #745740 (Esperantostern)
x10122	einladen	to invite	sourced	einladen	AUX,VERB	Ich frage mich, wen ich einladen soll.	I wonder who to invite.	CC-BY 2.0 (France) Attribution: tatoeba.org #40331 (CK) & #455455 (al_ex_an_der)
x10123	feiern	to celebrate	sourced	feiern	AUX,VERB	Ich möchte Weihnachten mit dir feiern.	I want to celebrate Christmas with you.	CC-BY 2.0 (France) Attribution: tatoeba.org #12225118 (CK) & #12652276 (Waldelfe)
x10124	helfen	to help	sourced	helfen	AUX,VERB	Ich bin hier um dir zu helfen.	I’m here to help you.	CC-BY 2.0 (France) Attribution: tatoeba.org #1891003 (CK) & #12441409 (Augustus)
x10125	zeigen	to show	sourced	zeigen	AUX,VERB	Ich kann dir zeigen, wie das geht.	I can show you how to do this.	CC-BY 2.0 (France) Attribution: tatoeba.org #11049063 (CK) & #12662978 (Waldelfe)
x10126	schicken	to send	sourced	schicken	AUX,VERB	Bitte schicken Sie es mir per Fax.	Please send it to me by fax.	CC-BY 2.0 (France) Attribution: tatoeba.org #41824 (CK) & #2044137 (Tamy)
x10127	bekommen	to receive / get	sourced	bekommen	AUX,VERB	Ich habe einen Brief auf Englisch bekommen.	I received a letter written in English.	CC-BY 2.0 (France) Attribution: tatoeba.org #256198 (CK) & #2024719 (Vortarulo)
x10128	bringen	to bring	sourced	bringen	AUX,VERB	Bringen Sie mir bitte ein Glas Milch.	Please bring me a glass of milk.	CC-BY 2.0 (France) Attribution: tatoeba.org #13011560 (rul) & #4609819 (Esperantostern)
x10129	holen	to fetch	sourced	holen	AUX,VERB	Ich muss mir was zu essen holen.	I have to get some food.	CC-BY 2.0 (France) Attribution: tatoeba.org #3871363 (CK) & #4044118 (pullnosemans)
x10130	mitnehmen	to take along	sourced	mitnehmen	AUX,VERB	Du solltest heute Morgen einen Regenschirm mitnehmen.	You should take an umbrella with you this morning.	CC-BY 2.0 (France) Attribution: tatoeba.org #242210 (CK) & #476103 (Ullalia)
x10131	ankommen	to arrive	sourced	ankommen	AUX,VERB	Der Zug wird um zehn Uhr ankommen.	The train will arrive at ten o’clock.	CC-BY 2.0 (France) Attribution: tatoeba.org #43448 (CK) & #2344118 (Tamy)
x10132	abfahren	to depart	sourced	abfahren	AUX,VERB	Der Zug wird bald abfahren.	The train will depart soon.	CC-BY 2.0 (France) Attribution: tatoeba.org #900939 (CM) & #726123 (Esperantostern)
x10133	umsteigen	to change trains	sourced	umsteigen	AUX,VERB	Sie müssen an der nächsten Station umsteigen.	You have to change trains at the next stop.	CC-BY 2.0 (France) Attribution: tatoeba.org #264243 (CK) & #494279 (MUIRIEL)
x10134	verpassen	to miss	sourced	verpassen	AUX,VERB	Los, los, sonst verpassen wir den Bus!	Hurry up, or we’ll miss the bus.	CC-BY 2.0 (France) Attribution: tatoeba.org #12169241 (sundown) & #12184518 (Pfirsichbaeumchen)
